collection,transcript,reason
Eng-NA,Braunwald/0diary/020014.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020015.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020017.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020018.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020019.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020020.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020021.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020022.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020023.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020024.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020026.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020027.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020101.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020102.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020103.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020104.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020105.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020106.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020107.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020109.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020110.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020111.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020112a.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020112b.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020113.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020115.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020116.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020117.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020118.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020119.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020120.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020121.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020122.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020123.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020125.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020126.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020127.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020128.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020130.cha,weak_text_identity
