original_transcript_id,n_current_transcripts,current_transcripts
10968,2,NewmanRatner/11/4866AC.cha;NewmanRatner/Interviews/11/4866AC.cha
10969,2,NewmanRatner/11/4903LS.cha;NewmanRatner/Interviews/11/4903LS.cha
10970,2,NewmanRatner/11/4929MM.cha;NewmanRatner/Interviews/11/4929MM.cha
10971,2,NewmanRatner/11/5013LA.cha;NewmanRatner/Interviews/11/5013LA.cha
10972,2,NewmanRatner/11/4997LM.cha;NewmanRatner/Interviews/11/4997LM.cha
10973,2,NewmanRatner/11/5039MB.cha;NewmanRatner/Interviews/11/5039MB.cha
10975,2,NewmanRatner/11/5057MS.cha;NewmanRatner/Interviews/11/5057MS.cha
10976,2,NewmanRatner/11/5118PM.cha;NewmanRatner/Interviews/11/5118PM.cha
10977,2,NewmanRatner/11/5193HB.cha;NewmanRatner/Interviews/11/5193HB.cha
10978,2,NewmanRatner/11/5111CG.cha;NewmanRatner/Interviews/11/5111CG.cha
10979,2,NewmanRatner/11/5196AVI.cha;NewmanRatner/Interviews/11/5196AVI.cha
10980,2,NewmanRatner/11/5224EZS.cha;NewmanRatner/Interviews/11/5224EZS.cha
10981,2,NewmanRatner/11/5244SE.cha;NewmanRatner/Interviews/11/5244SE.cha
10982,2,NewmanRatner/11/5244RE.cha;NewmanRatner/Interviews/11/5244RE.cha
10983,2,NewmanRatner/11/5266EC.cha;NewmanRatner/Interviews/11/5266EC.cha
10985,2,NewmanRatner/11/5346GG.cha;NewmanRatner/Interviews/11/5346GG.cha
10987,2,NewmanRatner/11/5440JJ.cha;NewmanRatner/Interviews/11/5440JJ.cha
10988,2,NewmanRatner/11/5443AO.cha;NewmanRatner/Interviews/11/5443AO.cha
10989,2,NewmanRatner/11/5449NG.cha;NewmanRatner/Interviews/11/5449NG.cha
10991,2,NewmanRatner/11/5474ES.cha;NewmanRatner/Interviews/11/5474ES.cha
10992,2,NewmanRatner/11/5540LD.cha;NewmanRatner/Interviews/11/5540LD.cha
10993,2,NewmanRatner/11/5543EF.cha;NewmanRatner/Interviews/11/5543EF.cha
10994,2,NewmanRatner/11/5550VS.cha;NewmanRatner/Interviews/11/5550VS.cha
10995,2,NewmanRatner/11/5563DB.cha;NewmanRatner/Interviews/11/5563DB.cha
10996,2,NewmanRatner/11/5561AC.cha;NewmanRatner/Interviews/11/5561AC.cha
10997,2,NewmanRatner/11/5571FW.cha;NewmanRatner/Interviews/11/5571FW.cha
10998,2,NewmanRatner/11/5573IH.cha;NewmanRatner/Interviews/11/5573IH.cha
11001,2,NewmanRatner/11/5609DW.cha;NewmanRatner/Interviews/11/5609DW.cha
11003,2,NewmanRatner/11/5630WS.cha;NewmanRatner/Interviews/11/5630WS.cha
11004,2,NewmanRatner/11/5661AP.cha;NewmanRatner/Interviews/11/5661AP.cha
11006,2,NewmanRatner/11/5694MC.cha;NewmanRatner/Interviews/11/5694MC.cha
11007,2,NewmanRatner/11/5707RT.cha;NewmanRatner/Interviews/11/5707RT.cha
11008,2,NewmanRatner/11/5777FC.cha;NewmanRatner/Interviews/11/5777FC.cha
11009,2,NewmanRatner/11/5820CP.cha;NewmanRatner/Interviews/11/5820CP.cha
11010,2,NewmanRatner/11/5837AK.cha;NewmanRatner/Interviews/11/5837AK.cha
11011,2,NewmanRatner/11/5794ES.cha;NewmanRatner/Interviews/11/5794ES.cha
11012,2,NewmanRatner/11/5837JK.cha;NewmanRatner/Interviews/11/5837JK.cha
11014,2,NewmanRatner/11/5878SC.cha;NewmanRatner/Interviews/11/5878SC.cha
11016,2,NewmanRatner/11/5923MW.cha;NewmanRatner/Interviews/11/5923MW.cha
11018,2,NewmanRatner/11/5936SR.cha;NewmanRatner/Interviews/11/5936SR.cha
11019,2,NewmanRatner/11/5928RL.cha;NewmanRatner/Interviews/11/5928RL.cha
11022,2,NewmanRatner/11/5965PC.cha;NewmanRatner/Interviews/11/5965PC.cha
11024,2,NewmanRatner/11/6043AM.cha;NewmanRatner/Interviews/11/6043AM.cha
11025,2,NewmanRatner/11/5977QJ.cha;NewmanRatner/Interviews/11/5977QJ.cha
11028,2,NewmanRatner/11/6453HS.cha;NewmanRatner/Interviews/11/6453HS.cha
11031,2,NewmanRatner/11/6337NK.cha;NewmanRatner/Interviews/11/6337NK.cha
11032,2,NewmanRatner/11/6314AK.cha;NewmanRatner/Interviews/11/6314AK.cha
11033,2,NewmanRatner/11/6598JM.cha;NewmanRatner/Interviews/11/6598JM.cha
11039,2,NewmanRatner/11/6757JC.cha;NewmanRatner/Interviews/11/6757JC.cha
11040,2,NewmanRatner/11/6878SK.cha;NewmanRatner/Interviews/11/6878SK.cha
11043,2,NewmanRatner/11/6826LD.cha;NewmanRatner/Interviews/11/6826LD.cha
11044,2,NewmanRatner/11/6815KG.cha;NewmanRatner/Interviews/11/6815KG.cha
11048,2,NewmanRatner/11/7061AS.cha;NewmanRatner/Interviews/11/7061AS.cha
11049,2,NewmanRatner/11/6825MT.cha;NewmanRatner/Interviews/11/6825MT.cha
11054,2,NewmanRatner/11/7236FB.cha;NewmanRatner/Interviews/11/7236FB.cha
11063,2,NewmanRatner/18/5013LA.cha;NewmanRatner/Interviews/18/5013LA.cha
11064,2,NewmanRatner/18/5057MS.cha;NewmanRatner/Interviews/18/5057MS.cha
11067,2,NewmanRatner/18/5244SE.cha;NewmanRatner/Interviews/18/5244SE.cha
11068,2,NewmanRatner/18/4269LP.cha;NewmanRatner/Interviews/18/4269LP.cha
11070,2,NewmanRatner/18/5440JJ.cha;NewmanRatner/Interviews/18/5440JJ.cha
11071,2,NewmanRatner/18/5244RE.cha;NewmanRatner/Interviews/18/5244RE.cha
11073,2,NewmanRatner/18/5266EC.cha;NewmanRatner/Interviews/18/5266EC.cha
11074,2,NewmanRatner/18/5543EF.cha;NewmanRatner/Interviews/18/5543EF.cha
11075,2,NewmanRatner/18/5593SH.cha;NewmanRatner/Interviews/18/5593SH.cha
11077,2,NewmanRatner/18/5550VS.cha;NewmanRatner/Interviews/18/5550VS.cha
11078,2,NewmanRatner/18/5563DB.cha;NewmanRatner/Interviews/18/5563DB.cha
11080,2,NewmanRatner/18/5609DW.cha;NewmanRatner/Interviews/18/5609DW.cha
11081,2,NewmanRatner/18/5630WS.cha;NewmanRatner/Interviews/18/5630WS.cha
11083,2,NewmanRatner/18/5661AP.cha;NewmanRatner/Interviews/18/5661AP.cha
11084,2,NewmanRatner/18/5707RT.cha;NewmanRatner/Interviews/18/5707RT.cha
11085,2,NewmanRatner/18/5694MC.cha;NewmanRatner/Interviews/18/5694MC.cha
11087,2,NewmanRatner/18/5777FC.cha;NewmanRatner/Interviews/18/5777FC.cha
11089,2,NewmanRatner/18/5820CP.cha;NewmanRatner/Interviews/18/5820CP.cha
11090,2,NewmanRatner/18/5859ME.cha;NewmanRatner/Interviews/18/5859ME.cha
11092,2,NewmanRatner/18/5923MW.cha;NewmanRatner/Interviews/18/5923MW.cha
11093,2,NewmanRatner/18/5936SR.cha;NewmanRatner/Interviews/18/5936SR.cha
11094,3,NewmanRatner/18/5928RL.cha;NewmanRatner/Interviews/18/5928RL.cha;NewmanRatner/Interviews/24/5928RLAdult.cha
11095,2,NewmanRatner/18/5949DL.cha;NewmanRatner/Interviews/18/5949DL.cha
